bigram,count
effective energy,11
develop renewable,11
produce renewable,11
carbon offset,11
carolina department,11
state renewable,11
power agreement,11
epa propose,11
cross state,11
help state,11
engage state,11
demand wind,11
significant renewable,11
lot renewable,11
megawatt storage,11
utility solar,11
approval georgia,11
vehicle small,11
driver assistance,11
sale aero,11
renewable demand,11
contribution southern,11
reduce air,10
meet sustainability,10
look solar,10
solar solar,10
heat power,10
support energy,10
air pollution,10
leader renewable,10
carbon resource,10
environmental sustainability,10
reliable cost,10
approval florida,10
include electric,10
generation florida,10
build transmission,10
reliability resilience,10
itc ptc,10
invest clean,10
enable renewable,10
replacement generation,10
energy leader,10
vehicle strategy,10
vehicle electric,10
large renewable,10
storage wind,10
garden power,10
obama administration,10
utility truck,10
vehicle especially,10
solar addition,10
improvement wind,10
resource assessment,10
environmental transmission,10
receive air,9
resource availability,9
demand clean,9
come solar,9
term solar,9
transportation resource,9
clean water,9
energy landscape,9
gas intensity,9
important energy,9
non free,9
renewable electricity,9
environmental benefit,9
energy standard,9
regard renewable,9
federal policy,9
develop carbon,9
epa clean,9
modernize generation,9
climate legislation,9
invest energy,9
capacity energy,9
portfolio renewable,9
renewable technology,9
low solar,9
electric transportation,9
project solar,9
climate strategy,9
support clean,9
wind storage,9
power florida,9
energy meet,9
compliance capital,9
facility brunswick,9
deal carbon,9
gigawatt wind,9
improve air,9
charge network,9
energy shareholder,9
hybrid plug,9
vehicle plan,9
make battery,9
capture carbon,9
armando olivera,9
wind addition,9
combine solar,9
wind ptc,9
exist renewable,9
efficient oil,9
power owner,9
world population,8
vehicle work,8
energy create,8
solar good,8
energy support,8
talk solar,8
area energy,8
industry energy,8
include hydrogen,8
energy carbon,8
initiative energy,8
electrification autonomous,8
emission improve,8
generation solar,8
president elect,8
climate risk,8
efficient program,8
energy recently,8
solar farm,8
charge station,8
traditional energy,8
fuel use,8
build wind,8
wind investment,8
megawatt upgrade,8
efficient natural,8
gas repowering,8
opportunity wind,8
wind ppa,8
eastern municipal,8
emission exist,8
normal wind,8
expansion renewable,8
create thousand,8
storage pilot,8
add battery,8
invest renewable,8
vehicle infrastructure,8
energy requirement,8
work carbon,8
onshore wind,8
energy reliability,8
renewable sale,8
megawatt clean,8
city bear,8
virginia natural,8
storage renewable,8
improve environmental,8
produce energy,8
affordable electric,8
safety smart,8
electric version,8
pure electric,8
vehicle company,8
large battery,8
pure ev,8
power battery,8
vehicle right,8
energy brand,8
backlog renewable,8
average wind,8
quality renewable,8
emission carbon,8
separator film,8
efficient unit,7
enhance sustainability,7
emission increase,7
solar gas,7
power construction,7
say energy,7
distribute power,7
annual sustainability,7
build clean,7
intensity reduction,7
carbon tax,7
expand energy,7
broad energy,7
relate carbon,7
policy goal,7
come renewable,7
energy close,7
energy secretary,7
investment emission,7
fuel create,7
future carbon,7
enhance diversity,7
combine wind,7
issue epa,7
energy state,7
address emission,7
combustion residual,7
megawatt include,7
assist utility,7
energy team,7
solar renewable,7
affordable electricity,7
efficiency rider,7
efficient solution,7
scale renewable,7
grid solar,7
bipartisan legislation,7
build electric,7
ev infrastructure,7
energy vision,7
transition electric,7
emission electric,7
generation clean,7
utility ownership,7
strong renewable,7
nuclear play,7
megawatt place,7
file irp,7
gigawatt gas,7
thousand megawatt,7
virginia energy,7
power generator,7
know renewable,7
carbon electricity,7
emission power,7
security energy,7
reliable resilient,7
vehicle world,7
vehicle offer,7
electric transit,7
ev vehicle,7
emission future,7
drive affordable,7
vehicle ev,7
large air,7
drink energy,7
water stewardship,7
energy help,7
visibility energy,7
overall wind,7
program energy,7
hour storage,7
significant solar,7
class renewable,7
alabama public,7
subsidiary southern,7
worldwide natural,7
power successfully,6
make clean,6
generation largely,6
focus safely,6
emission compare,6
progress clean,6
engine electric,6
food energy,6
energy overall,6
solar little,6
solar versus,6
course solar,6
grow electric,6
variety fuel,6
combine heat,6
environmental goal,6
meet carbon,6
manage energy,6
energy challenge,6
solar installation,6
focus renewable,6
carbon market,6
reduce sulfur,6
continue renewable,6
investment carbon,6
scale wind,6
talk renewable,6
energy economy,6
acquisition renewable,6
acquire renewable,6
transition renewable,6
power initiative,6
fleet set,6
clean sustainable,6
eco friendly,6
environmental challenge,6
power propose,6
support wind,6
wind plant,6
settlement commission,6
energy clean,6
rooftop solar,6
regard electric,6
coal technology,6
particularly wind,6
energy nuclear,6
energy merger,6
propose program,6
renewable wind,6
retire plant,6
grow solar,6
meet renewable,6
wind approximately,6
overall renewable,6
benefit renewable,6
potential wind,6
sponsor energy,6
approve rider,6
position renewable,6
support load,6
utility renewable,6
use solar,6
commitment clean,6
future electric,6
vehicle charge,6
solar deal,6
electric school,6
mention renewable,6
grid support,6
continue solar,6
lead clean,6
climate goal,6
talk carbon,6
regional transmission,6
energy exist,6
carbon renewable,6
expansion solar,6
base solar,6
nuclear portfolio,6
renewable tariff,6
vehicle manufacture,6
lead renewable,6
affordable clean,6
reliable grid,6
levelized cost,6
new powertrain,6
vehicle great,6
vehicle large,6
transit vehicle,6
capability vehicle,6
vehicle future,6
vehicle today,6
combustion vehicle,6
vehicle battery,6
robo taxi,6
wind wind,6
diesel platform,6
solution energy,6
efficiency clean,6
energy thermal,6
carbon economy,6
indoor air,6
green fuel,6
photovoltaic solar,6
meet nation,6
particularly renewable,6
power world,6
convertible investment,6
incentive renewable,6
regard wind,6
total wind,6
air emission,6
megawatt canadian,6
municipal electric,6
quarter renewable,6
renewable remain,6
value renewable,6
ethylene natural,6
apply innovative,6
market carbon,6
utility southern,6
recovery ensure,5
play meet,5
launch electric,5
propulsion technology,5
power marine,5
emission come,5
technology electric,5
battery power,5
vehicle application,5
recent stimulus,5
tailpipe emission,5
traditional power,5
country energy,5
energy opportunity,5
like climate,5
gas reduction,5
need clean,5
use emission,5
congressional delegation,5
introduce gas,5
geothermal asset,5
sustainable reliable,5
energy economic,5
integrate renewable,5
carbon efficient,5
credit renewable,5
net carbon,5
make renewable,5
policy incentive,5
support reliable,5
equivalent cap,5
investment wind,5
energy producer,5
major generation,5
fleet peak,5
electricity need,5
energy initiative,5
energy climate,5
sox nox,5
achieve energy,5
policy requirement,5
efficient clean,5
energy supplier,5
sulfur dioxide,5
rps requirement,5
energy auction,5
event fukushima,5
power association,5
addition wind,5
renewable solar,5
energy build,5
fleet electric,5
approval nuclear,5
factor nuclear,5
state environmental,5
spend coal,5
step advance,5
distribute solar,5
austin energy,5
change emission,5
grid benefit,5
utility sponsor,5
energy enter,5
plant renewable,5
access clean,5
commitment environmental,5
invest solar,5
provide carbon,5
energy talk,5
approve solar,5
brunswick power,5
resiliency security,5
new megawatt,5
energy sustainable,5
technology carbon,5
load center,5
storage electric,5
energy incentive,5
sale renewable,5
volume electric,5
utility potential,5
competitive solicitation,5
power near,5
significant environmental,5
improvement solar,5
installation state,5
energy smart,5
scale offshore,5
traditional electric,5
construction wind,5
experience vehicle,5
solar onshore,5
wind slide,5
energy profile,5
need renewable,5
agreement ppa,5
advance electric,5
turbine model,5
self generation,5
vehicle start,5
vehicle type,5
activity vehicle,5
vehicle know,5
partially unfavorable,5
vehicle talk,5
vehicle lot,5
vehicle test,5
economy emission,5
electric solution,5
vehicle component,5
demand ev,5
vehicle important,5
improve wind,5
vehicle gain,5
cell pack,5
progress autonomous,5
source battery,5
china air,5
activity renewable,5
create green,5
deploy solar,5
strength renewable,5
affordable supply,5
drink sport,5
quality water,5
develop wind,5
generation potentially,5
olivera president,5
change wind,5
clause mechanism,5
megawatt highly,5
technology wind,5
energy provider,5
renewable strong,5
reliability help,5
renewable developer,5
rotor diameter,5
power park,5
range wind,5
integrate solar,5
achieve renewable,5
leader energy,5
commercially operational,5
emission reduce,5
carbon project,5
power secure,5
dispatch gas,5
national carbon,5
wind deal,5
electric subsidiary,5
non natural,5
froth treatment,5
final ruling,4
phase wind,4
aircraft design,4
energy star,4
service solar,4
power mean,4
emission year,4
performance electric,4
electricity generate,4
emission drive,4
hybrid technology,4
infrastructure electric,4
new climate,4
force climate,4
sustainability objective,4
emission large,4
conventional diesel,4
grid power,4
market solar,4
micro grid,4
energy case,4
fuel renewable,4
energy particularly,4
exist carbon,4
address environmental,4
supply ensure,4
economic environmental,4
relate renewable,4
gas initiative,4
thing energy,4
low emit,4
foreign oil,4
say wind,4
facilitate development,4
transport store,4
production clean,4
progress resource,4
resource primarily,4
base shale,4
supply clean,4
effective renewable,4
production renewable,4
provide renewable,4
start renewable,4
emission gas,4
like renewable,4
transition fuel,4
future renewable,4
importance energy,4
plant decade,4
address fuel,4
station south,4
particularly coastal,4
generation wind,4
operate renewable,4
place energy,4
specifically wind,4
new baseload,4
environmental upgrade,4
plant power,4
environmental policy,4
waxman markey,4
grow wind,4
update federal,4
energy renewable,4
megawatt make,4
regard emission,4
new combustion,4
epa recently,4
epa require,4
assembly pass,4
recognize utility,4
energy important,4
energy target,4
state air,4
electric membership,4
plant energy,4
unscrubbed coal,4
power electric,4
reduce electricity,4
energy previously,4
mix solar,4
power ownership,4
residual rule,4
solar north,4
offset carbon,4
comment epa,4
say renewable,4
believe solar,4
carolina approve,4
epa new,4
utility offset,4
comply environmental,4
adoption energy,4
efficient combine,4
clean form,4
clean natural,4
credit itc,4
primarily renewable,4
clean renewable,4
collaboratively stakeholder,4
integration renewable,4
cut carbon,4
renewable clean,4
generate energy,4
approve deferral,4
distribution upgrade,4
commitment renewable,4
customer renewable,4
energy community,4
double renewable,4
gigawatt utility,4
wind component,4
coal renewable,4
credit wind,4
generation retirement,4
plan clean,4
bring renewable,4
gigawatt additional,4
vehicle adoption,4
leadership energy,4
achieve clean,4
deployment renewable,4
emission natural,4
issue request,4
renewable supply,4
buy renewable,4
level renewable,4
execute energy,4
approve fuel,4
bring clean,4
asset renewable,4
coastal area,4
renewable addition,4
legislation make,4
battery solar,4
value reliability,4
nuclear continue,4
power produce,4
utility size,4
activity electric,4
instead coal,4
governor malloy,4
energy time,4
agreement nextera,4
air station,4
expand solar,4
megawatt offshore,4
upgrade electric,4
record environmental,4
efficient sustainable,4
coastal region,4
phase grid,4
emission enhance,4
strength wind,4
way energy,4
generation play,4
energy solar,4
technology renewable,4
backup fuel,4
non renewable,4
tariff project,4
regard alternative,4
vehicle good,4
vehicle hybrid,4
vehicle consumer,4
vehicle fast,4
select vehicle,4
vehicle autonomous,4
vehicle solution,4
vehicle far,4
range anxiety,4
vehicle mention,4
make electric,4
digital connectivity,4
entire vehicle,4
personal vehicle,4
battery charge,4
support mechanism,4
year aero,4
efficiency energy,4
global middle,4
improvement air,4
global clean,4
decline renewable,4
energy versus,4
arnold energy,4
customer wind,4
renewable particularly,4
solar time,4
electric low,4
poor wind,4
trend renewable,4
current renewable,4
renewable pipeline,4
construction renewable,4
gas emit,4
universal solar,4
price renewable,4
energy battery,4
mean renewable,4
return wind,4
unfavorable wind,4
hydrogen market,4
operate transmission,4
gigawatt add,4
interconnect grid,4
utility cooperative,4
gas ethylene,4
progress carbon,4
power submit,4
nuclear loan,4
solar electric,4
response clean,4
power resource,4
environmental concern,3
reliability upgrade,3
program clean,3
efficiency environmental,3
use sustainable,3
sustainability issue,3
talk wind,3
solar example,3
primarily solar,3
australian resource,3
solar like,3
world prepare,3
brazil construction,3
climate work,3
specifically solar,3
solar remain,3
solar piece,3
construction solar,3
electricity renewable,3
gas blend,3
achieve environmental,3
climate energy,3
truck include,3
use electric,3
component electric,3
electric hydrogen,3
order energy,3
compressor gas,3
line energy,3
add grid,3
cell power,3
fact renewable,3
contribute power,3
synthetic gas,3
alternative renewable,3
carbon legislation,3
conventional shale,3
leadership environmental,3
energy believe,3
study energy,3
emission world,3
energy successful,3
overall emission,3
emission energy,3
emission production,3
mitigate natural,3
value carbon,3
air resource,3
resource board,3
commission utility,3
energy currently,3
naphtha lpg,3
load lng,3
class natural,3
stringent fuel,3
decrease carbon,3
fuel california,3
involve renewable,3
large carbon,3
climate issue,3
energy people,3
sell renewable,3
bridge fuel,3
address carbon,3
paris climate,3
renewable potential,3
renewable specifically,3
energy fundamental,3
advance renewable,3
execute efficient,3
world carbon,3
conditional use,3
use permit,3
boiler steam,3
renewable portion,3
policy leader,3
energy way,3
energy begin,3
gallon expect,3
safe clean,3
emission work,3
fuel carbon,3
sustainable fuel,3
decade particularly,3
acquire wind,3
air program,3
high emit,3
ohio energy,3
couple environmental,3
development wind,3
emission coal,3
expand wind,3
nox emission,3
recall energy,3
wind texas,3
court overturn,3
efficiency requirement,3
hopeful commission,3
intake structure,3
issue climate,3
respect renewable,3
turn nuclear,3
wind joint,3
energy agreement,3
megawatt north,3
construction afudc,3
regulation coal,3
approval recovery,3
carbon gas,3
energy forecast,3
dioxide nitrogen,3
meet rps,3
nuclear natural,3
act amendment,3
annual recovery,3
energy major,3
epa work,3
propose electric,3
upgrade nuclear,3
dispatch agreement,3
generation complete,3
carolina supreme,3
energy recognize,3
renewable platform,3
trend water,3
vehicle couple,3
energy increasingly,3
megawatt acquire,3
purchase output,3
form renewable,3
include epa,3
propose clean,3
lot nuclear,3
total carbon,3
renewable help,3
focus grid,3
clean smart,3
project clean,3
efficient building,3
renewable believe,3
wind rain,3
penetration renewable,3
plan carbon,3
produce clean,3
facility energy,3
grid device,3
indirect job,3
nation infrastructure,3
energy develop,3
grid renewable,3
make grid,3
permit army,3
place renewable,3
term carbon,3
development electric,3
efficient energy,3
support electric,3
propose utility,3
upgrade reduce,3
energy perspective,3
pace energy,3
sustainable practice,3
lead carbon,3
license nuclear,3
gas carbon,3
include climate,3
life coal,3
advocate energy,3
credit utility,3
renewable forward,3
share solar,3
climate target,3
coal carbon,3
leader clean,3
power clean,3
energy add,3
renewable play,3
state clean,3
support solar,3
favorable renewable,3
renewable especially,3
renewable distribute,3
target carbon,3
wind believe,3
potential renewable,3
megawatt approve,3
support carbon,3
target gigawatt,3
need carbon,3
commission extend,3
gigawatt nuclear,3
mechanism similar,3
energy early,3
ohio public,3
plant qualify,3
mean wind,3
connect electric,3
recent commission,3
base wind,3
waste wood,3
energy involve,3
station shut,3
utility mean,3
bridgeport connecticut,3
gas virginia,3
qualify federal,3
reliability utility,3
ccgt project,3
electric op,3
comply exist,3
renewable acquisition,3
mandate renewable,3
especially solar,3
wyoming public,3
solar fleet,3
generator steam,3
energy environment,3
benefit clean,3
connecticut department,3
resource contract,3
sustainable innovative,3
emission significantly,3
forward solar,3
lng fuel,3
use transportation,3
blow sun,3
emit resource,3
work solar,3
extension renewable,3
current solar,3
energy affordable,3
energy local,3
energy safe,3
role coal,3
vineyard wind,3
expansion clean,3
generation south,3
kind carbon,3
use carbon,3
utility investor,3
wind reduce,3
impact renewable,3
wind partnership,3
wind supply,3
ontario power,3
time renewable,3
turbine tower,3
capacity renewable,3
continue nuclear,3
power major,3
incremental wind,3
jeff bennett,3
efficient engine,3
sale hybrid,3
mobility autonomous,3
win vehicle,3
place vehicle,3
focus passenger,3
electrify vehicle,3
follow electric,3
vehicle significant,3
global electric,3
pure battery,3
vehicle truck,3
vehicle utilize,3
assemble vehicle,3
car electric,3
gas regulation,3
ice sale,3
lead vehicle,3
produce electric,3
incentive vehicle,3
traditional vehicle,3
vehicle currently,3
software quality,3
vehicle need,3
apply vehicle,3
vehicle internal,3
deliver award,3
use clean,3
vehicle significantly,3
strength vehicle,3
big wind,3
vehicle safe,3
vehicle decrease,3
vehicle opportunity,3
electric autonomous,3
vehicle announce,3
vehicle potential,3
wireless battery,3
emission long,3
emission new,3
cell vehicle,3
vehicle run,3
vehicle overall,3
electric motor,3
petrochemical natural,3
highlight transportation,3
global warm,3
supply industrial,3
hour large,3
annual emission,3
petrochemical process,3
role renewable,3
accelerate energy,3
expansion energy,3
energy point,3
energy little,3
portfolio distribute,3
increase affordable,3
case wind,3
tea energy,3
plus coffee,3
carbon target,3
water resource,3
energy country,3
national renewable,3
overhead power,3
electrification energy,3
favorable secular,3
ask natural,3
hybrid use,3
carbon emit,3
chain energy,3
incremental renewable,3
old wind,3
unit kilowatt,3
life wind,3
subsidiary energy,3
efficient power,3
progress renewable,3
turn fpl,3
change renewable,3
drive renewable,3
good wind,3
resource nep,3
transmission access,3
issue clean,3
renewable drive,3
renewable right,3
resource renewable,3
business fpl,3
efficiency natural,3
repowering wind,3
emit power,3
infrastructure alternative,3
associate renewable,3
megawatt repowering,3
rick perry,3
solar combine,3
share renewable,3
wind demand,3
support california,3
energy invest,3
present energy,3
transmission support,3
hydrogen hydrogen,3
portfolio utility,3
leader battery,3
panel battery,3
mix renewable,3
strong electricity,3
joaquin basin,3
development water,3
energy concept,3
effective sustainable,3
industrial source,3
emission approximately,3
lignite fuel,3
source electricity,3
generation southern,3
solar acquisition,3
gas clean,3
generation carbon,3
energy canada,3
efficient traditional,3
chile include,3
consumption reduce,3
electrostatic precipitator,3
fee energy,3
emission low,3
commitment power,2
challenge electric,2
area autonomous,2
generation form,2
role design,2
noise emission,2
design battery,2
energy marketplace,2
lead certification,2
building environment,2
efficient environment,2
issue air,2
include autonomous,2
focus wind,2
time emission,2
gas boom,2
energy machine,2
stimulus initiative,2
solar kind,2
change solar,2
gas reciprocate,2
order electric,2
energy transport,2
factor resource,2
technology autonomous,2
happen solar,2
reduction solar,2
sector heavy,2
solar direct,2
demand shale,2
gas biogas,2
eu emission,2
issue solar,2
renewable alternative,2
turbine wind,2
application transportation,2
substitute natural,2
climate environment,2
focus climate,2
electric locomotive,2
type energy,2
old energy,2
renewable benefit,2
hybrid battery,2
high solar,2
transmission improve,2
sea level,2
supply reliable,2
turbine provide,2
application solar,2
build electricity,2
electric large,2
hydrogen natural,2
run hydrogen,2
grid gas,2
requirement grid,2
respect solar,2
producer project,2
energy upstream,2
petroleum resource,2
secondly natural,2
farm offshore,2
party natural,2
realization natural,2
energy example,2
kansai electric,2
energy minister,2
climate action,2
fact president,2
monitor reduce,2
cheap clean,2
topic energy,2
conventional non,2
respect emission,2
emission include,2
stable efficient,2
administration commitment,2
gas transition,2
design use,2
project thailand,2
range environmental,2
issue carbon,2
remain environmental,2
australia natural,2
solution carbon,2
valley heavy,2
project strongly,2
chubu electric,2
complete lng,2
nation grow,2
alternative natural,2
model utility,2
clean transportation,2
mexico lng,2
efficient build,2
energy administration,2
increasingly stringent,2
government commit,2
conventional energy,2
purchase wind,2
solar play,2
ambient air,2
energy week,2
integrate wind,2
california air,2
kind energy,2
turn renewable,2
power offshore,2
project carbon,2
deliver carbon,2
emission use,2
indicate energy,2
need california,2
power rating,2
energy double,2
add carbon,2
station online,2
convert renewable,2
facility fuel,2
introduce fuel,2
plant lower,2
policy renewable,2
premier energy,2
grid meter,2
gas regional,2
reliance import,2
friendly option,2
outage improve,2
efficient equipment,2
efficient type,2
fleet generation,2
enhance resiliency,2
add wind,2
gas wind,2
megawatt asset,2
megawatt auction,2
pursue renewable,2
available control,2
concern wind,2
plant nation,2
target renewable,2
value emission,2
compliance epa,2
elect obama,2
invest wind,2
area florida,2
meet policy,2
regulator policy,2
allowance allocate,2
energy success,2
power outside,2
relate electric,2
supercritical pulverize,2
art power,2
significant nuclear,2
electric equipment,2
emission sulfur,2
energy establish,2
generation locate,2
world solar,2
propose transport,2
repowering program,2
conditionally approve,2
construct wind,2
generation nearly,2
file stipulation,2
oxide emission,2
strong nuclear,2
electricity long,2
procure energy,2
proposal long,2
rule csapr,2
source carbon,2
supply load,2
improve nuclear,2
utility merger,2
coal storage,2
increasingly strict,2
role state,2
scrub coal,2
jurisdiction federal,2
clean electricity,2
policy reason,2
commission electric,2
energy leadership,2
gas exceed,2
summer nuclear,2
low renewable,2
available solar,2
proposal develop,2
commercial generation,2
management coal,2
require transmission,2
generator operate,2
power important,2
transportation chemical,2
energy diversity,2
regard clean,2
renewable kind,2
wind pattern,2
strengthen reliability,2
commercial natural,2
utility recognize,2
add electric,2
file recover,2
grid create,2
hour wind,2
solar commercial,2
solar potential,2
quality certificate,2
drive grid,2
energy clear,2
facility nuclear,2
finance renewable,2
hydro wind,2
renewable talk,2
storage improve,2
associate clean,2
clean cheap,2
grid large,2
make energy,2
energy experience,2
facility renewable,2
reliability enable,2
fleet clean,2
wind heavy,2
multiple utility,2
energy objective,2
energy receive,2
megawatt announce,2
transform generation,2
address clean,2
case permit,2
market clean,2
solar need,2
century energy,2
historically energy,2
legislative support,2
stabilization adjustment,2
bring wind,2
credit energy,2
expect carbon,2
far renewable,2
goal clean,2
maintenance nuclear,2
utility address,2
wind state,2
expansion nuclear,2
wind availability,2
application nuclear,2
impact clean,2
policy federal,2
align utility,2
significant carbon,2
work clean,2
provision legislation,2
renewable particular,2
renewable regulate,2
steward environment,2
renewable time,2
commission stakeholder,2
recognize carbon,2
wind small,2
benefit carbon,2
pump hydro,2
renewable lot,2
talk grid,2
storage hydro,2
phase energy,2
grid new,2
reliable natural,2
turbine manufacturer,2
grid generation,2
role utility,2
point electric,2
earn energy,2
request recover,2
efficiency component,2
use utility,2
bridge power,2
country utility,2
obviously nuclear,2
energy basically,2
return electric,2
construct coal,2
nox sox,2
sox mercury,2
conservation demand,2
miso region,2
conservation plan,2
generation regulate,2
water critical,2
hold nuclear,2
program recovery,2
load equivalent,2
mmbtu change,2
rps goal,2
nation economic,2
utility outage,2
advantage coal,2
consumption energy,2
marginal coal,2
purchase emission,2
energy place,2
station schedule,2
turbine complete,2
impact epa,2
charge electric,2
regulation environmental,2
burn fuel,2
efficient construction,2
series hybrid,2
sign natural,2
sell nuclear,2
backbone transmission,2
energy possible,2
project output,2
small renewable,2
unregulated electric,2
form gas,2
megawatt purchase,2
commission certificate,2
acquire construction,2
turbine unit,2
voltage control,2
fuel electric,2
meet clean,2
utility generator,2
commission construction,2
request implement,2
department navy,2
navy develop,2
commission solar,2
commission utah,2
legislation establish,2
megawatt achieve,2
quality permit,2
achieve grid,2
local electric,2
environmental standard,2
cold reserve,2
consume coal,2
implement environmental,2
energy tariff,2
vehicle grid,2
energy enterprise,2
promote energy,2
solution sustainable,2
source electric,2
turbine size,2
recent solar,2
right electric,2
say electric,2
transmission electric,2
customer carbon,2
electric output,2
emission cut,2
energy deployment,2
majority solar,2
sustainable generation,2
administration clearly,2
change clean,2
diverse fuel,2
efficiency renewable,2
particularly electric,2
total electricity,2
application hydrogen,2
renewable electric,2
renewable procurement,2
coal free,2
heavy snow,2
resource solar,2
policy economic,2
asset solar,2
approve stipulation,2
policy directive,2
settlement electric,2
case renewable,2
generation announce,2
wind future,2
wind lease,2
cause energy,2
grid serve,2
request power,2
individual power,2
national utility,2
significant electricity,2
turbine need,2
vehicle size,2
requirement fuel,2
save technology,2
stimulus effort,2
support stimulus,2
union announce,2
electric hybrid,2
safety fuel,2
focus electric,2
expect epa,2
individual vehicle,2
electrical load,2
vehicle power,2
percent vehicle,2
combustion hybrid,2
diesel passenger,2
partnership city,2
economy vehicle,2
electric passenger,2
passenger commercial,2
development autonomous,2
hybrid pure,2
change battery,2
electric platform,2
core vehicle,2
production electric,2
boost vehicle,2
ion phosphate,2
opportunity electric,2
believe electric,2
develop autonomous,2
vehicle plug,2
vehicle course,2
work electric,2
market electric,2
efficient design,2
vehicle ramp,2
electric range,2
especially hybrid,2
china vehicle,2
vehicle example,2
shift electric,2
hybrid fully,2
like hybrid,2
obviously vehicle,2
logistic vehicle,2
vehicle key,2
environment wind,2
vehicle demonstrate,2
penetration electric,2
vehicle pure,2
test autonomous,2
battery range,2
provision supply,2
effect climate,2
vehicle plant,2
ev fast,2
agreement posco,2
plant recognize,2
facility environmentally,2
think lithium,2
future transportation,2
deliver environmental,2
solution pursue,2
vehicle range,2
economic security,2
production lithium,2
building energy,2
regulation significant,2
hour commercial,2
mention stimulus,2
building residential,2
automotive air,2
vehicle manufacturer,2
partnership energy,2
installation energy,2
manufacturer globally,2
diesel base,2
diesel light,2
distribution smart,2
warm product,2
energy footprint,2
meet environmental,2
minimize waste,2
pool pump,2
farm project,2
emission meet,2
innovation sustainable,2
lead evolution,2
energy aerospace,2
energy non,2
renewable green,2
theme energy,2
consumer energy,2
energy broad,2
depend legislation,2
value clean,2
energy lot,2
energy commitment,2
size energy,2
include affordable,2
concern energy,2
stimulus provide,2
note wind,2
example renewable,2
community water,2
water community,2
consumption home,2
opportunity clean,2
effort renewable,2
partnership department,2
save electricity,2
telecommunication utility,2
vision energy,2
solution renewable,2
energy automotive,2
recognize epa,2
energy kind,2
energy reduce,2
pollution prevention,2
sustainability environmental,2
environmental management,2
renewable way,2
efficiency distribute,2
security power,2
compliance device,2
power security,2
air pollutant,2
fact wind,2
state wind,2
commission nrc,2
contract ppa,2
current wind,2
lead wind,2
certain wind,2
conservation environmental,2
date wind,2
shift energy,2
efficiency turbine,2
president fpl,2
proportion energy,2
